crop_type,soil_type,weather_condition,pest_pressure,disease_name,water_stress_level,irrigation_needed,ndvi,soil_moisture_percent,temperature_celsius,humidity_percent,rainfall_mm,ph_level,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_fertility_index,crop_yield,latitude,longitude,nitrogen_recommendation
Pomegranate,Sandy,Cool,High,None,Low,No,0.224,42.2,18.0,89.6,114.5,5.7,0.7,24.6,40.8,47.1,3.84,32.0657,80.0373,15.5
Banana,Loamy,Normal,High,Panama Wilt,Low,No,0.617,43.3,26.6,81.1,110.9,5.89,110.1,80.0,50.6,76.1,4.04,14.4964,91.9382,0.0
Banana,Loamy,Normal,High,Panama Wilt,Low,No,0.649,27.9,25.4,82.2,114.5,6.31,114.5,88.1,47.3,80.4,4.21,9.3921,76.8244,0.0
Cotton,Silty,Normal,High,Bacterial Blight,Moderate,Yes,0.579,28.8,24.6,80.8,72.8,5.74,131.7,44.5,22.0,67.4,2.82,23.3001,84.7587,2.6
Lentil,Clayey,Normal,High,None,High,Yes,0.358,24.9,21.2,63.0,46.2,5.67,12.9,73.3,17.3,53.4,2.61,9.7477,68.3807,5.2
Grapes,Loamy,Normal,High,None,Moderate,Yes,0.256,25.0,26.9,82.6,72.6,6.36,7.5,122.6,197.1,85.4,5.11,36.2769,93.1679,11.6
Grapes,Silty,Cool,Low,Anthracnose,Moderate,Yes,0.363,33.7,17.8,84.3,66.5,6.15,7.5,126.9,196.6,83.8,4.56,23.3957,78.2067,8.8
Papaya,Silty,Normal,High,Phytophthora Blight,Moderate,Yes,0.312,33.1,31.5,92.5,97.2,6.53,33.4,45.8,46.5,67.6,3.05,25.2274,83.3573,14.8
Watermelon,Silty,Normal,Medium,Anthracnose,Moderate,Yes,0.44,23.8,21.1,81.2,51.5,6.9,84.4,6.2,47.5,59.4,3.2,31.898,88.0588,14.0
Mothbeans,Clayey,Normal,Low,None,Moderate,Yes,0.383,19.2,28.8,59.4,52.6,4.11,31.4,43.7,17.9,25.6,1.8,13.433,94.0962,0.0
Rice,Loamy,Rainy,High,Rice Blast,Low,No,0.652,67.7,39.5,84.4,264.0,5.43,100.0,45.7,35.2,57.0,3.27,9.3101,68.5043,2.8
Pomegranate,Sandy,Cool,High,Bacterial Blight,Low,No,0.397,44.8,19.0,85.9,111.0,5.96,33.4,18.1,36.7,58.2,3.25,8.3933,78.2262,3.0
Orange,Clayey,Normal,High,Citrus Canker,Low,No,0.307,47.7,24.9,90.6,114.6,7.03,31.0,26.4,14.0,54.9,2.97,29.4894,96.2254,0.5
Chickpea,Sandy,Normal,High,None,Moderate,Yes,0.361,39.0,29.5,18.8,92.0,7.54,27.8,78.9,81.4,59.0,3.74,25.0853,95.4127,9.7
Mungbean,Silty,Normal,High,None,Moderate,Yes,0.322,17.1,28.8,84.3,59.2,6.68,1.6,48.0,18.4,60.6,4.12,23.1724,76.4037,16.6
Mothbeans,Loamy,Normal,Low,None,Moderate,Yes,0.202,19.2,24.1,31.6,56.7,5.34,12.1,42.2,23.0,42.4,3.37,16.2147,92.9113,8.9
Papaya,Silty,Normal,High,None,Moderate,Yes,0.304,14.7,39.9,91.0,57.0,6.79,36.2,37.2,47.7,59.5,4.23,33.898,94.6856,13.2
Mothbeans,Silty,Normal,High,None,High,Yes,0.311,11.3,28.6,57.3,36.1,4.8,22.6,52.0,18.2,33.1,1.65,32.1817,70.7852,1.7
Banana,Loamy,Normal,High,None,Low,No,0.673,24.8,26.8,79.7,103.8,6.46,100.2,87.1,48.6,81.6,6.34,15.0367,82.854,0.0
Papaya,Loamy,Normal,High,Papaya Ring Spot Virus,Low,No,0.578,38.3,37.4,90.6,137.2,6.84,66.0,56.9,45.5,69.7,4.39,11.1044,85.2359,3.8
Coconut,Silty,Normal,High,Root Wilt,Low,No,0.331,34.5,28.7,96.7,135.0,6.24,19.3,13.3,25.6,55.9,3.37,32.7154,76.7259,0.8
Rice,Silty,Rainy,Medium,Rice Blast,Low,No,0.687,62.2,21.3,80.8,228.0,7.2,108.3,50.6,37.0,59.7,3.98,19.7322,96.4982,3.7
Papaya,Clayey,Normal,High,None,High,Yes,0.288,19.7,34.2,90.6,44.5,6.57,40.4,50.3,49.4,63.9,2.49,10.9006,85.0742,8.2
Lentil,Silty,Normal,Low,None,High,Yes,0.302,10.5,23.0,64.2,44.1,5.56,15.6,72.4,16.1,47.6,2.36,12.0398,93.5903,4.7
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.661,63.7,30.1,81.7,208.6,6.77,118.9,43.9,43.6,70.5,4.28,16.0719,90.1156,0.1
Grapes,Sandy,Normal,High,Powdery Mildew,Moderate,Yes,0.281,23.0,38.8,83.0,72.1,5.68,2.7,141.0,199.8,78.8,3.51,25.9068,79.7094,12.1
Mothbeans,Clayey,Normal,High,None,Moderate,Yes,0.375,28.5,29.4,42.9,64.7,5.0,9.3,51.6,20.0,34.8,2.53,20.1816,69.8667,10.9
Kidneybeans,Clayey,Cool,Low,None,Moderate,Yes,0.201,29.8,18.7,21.3,75.7,5.53,1.5,73.7,19.4,44.3,3.59,16.2966,73.8346,13.9
Orange,Loamy,Normal,High,Citrus Canker,Low,No,0.487,35.3,25.7,93.3,116.2,6.31,32.3,9.8,10.8,52.9,3.25,34.4187,86.6247,1.5
Mungbean,Loamy,Normal,High,None,High,Yes,0.287,12.9,28.9,85.6,36.7,6.21,22.8,46.8,18.5,52.5,2.04,11.4199,74.6866,2.2
Banana,Clayey,Normal,High,None,Low,No,0.479,32.2,29.1,78.9,116.2,5.86,80.9,90.5,47.9,68.6,5.59,19.5774,69.6428,18.2
Kidneybeans,Sandy,Normal,Low,None,Moderate,Yes,0.422,21.2,21.5,15.3,78.0,5.92,23.3,78.4,24.8,54.6,4.12,22.3131,91.3642,1.9
Cotton,Sandy,Normal,High,None,Moderate,Yes,0.567,31.1,24.9,84.5,84.5,6.7,128.1,54.1,15.4,76.4,4.62,22.7205,86.8598,1.0
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.414,32.8,24.5,85.3,102.9,6.67,31.3,26.9,37.3,61.3,3.44,18.9396,71.6319,2.9
Papaya,Clayey,Normal,High,Papaya Ring Spot Virus,Low,No,0.345,29.9,39.7,91.8,131.7,6.6,35.5,45.9,54.0,66.4,4.13,31.0022,84.4734,16.5
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.739,69.8,21.1,82.2,197.1,5.71,112.4,41.2,35.6,67.3,3.99,27.0411,70.215,4.6
Mungbean,Sandy,Normal,High,None,Moderate,Yes,0.371,16.6,29.7,82.2,58.5,7.07,19.8,53.4,18.6,54.9,3.61,9.5659,94.1123,3.1
Cotton,Loamy,Normal,High,Bacterial Blight,Moderate,Yes,0.548,34.3,24.2,80.2,82.1,6.11,119.4,37.0,24.1,69.9,3.35,21.1591,71.3129,1.9
Maize,Clayey,Normal,Low,None,Moderate,Yes,0.385,24.0,29.6,56.2,79.2,6.78,70.8,49.7,18.0,62.7,5.25,23.4423,87.1517,5.6
Mango,Silty,Normal,Medium,None,Low,No,0.35,23.1,28.4,53.3,100.1,5.16,37.5,37.8,32.5,46.5,5.1,29.8196,91.4145,1.9
Coffee,Clayey,Normal,Low,None,Low,No,0.687,42.8,24.2,64.4,133.4,7.15,91.5,39.8,30.3,65.8,6.5,27.7954,75.9574,11.8
Papaya,Sandy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.551,43.7,27.7,91.3,177.1,6.63,41.8,49.3,45.4,63.3,3.6,8.5007,68.2573,4.8
Mango,Sandy,Normal,Medium,None,Moderate,Yes,0.315,24.4,25.6,54.4,97.2,5.19,19.2,36.1,27.2,38.4,2.87,26.2798,72.2602,3.0
Maize,Sandy,Normal,Low,None,Moderate,Yes,0.431,40.4,24.1,63.8,87.7,5.98,69.3,51.4,16.8,64.6,5.56,18.2467,88.8313,10.8
Mango,Sandy,Normal,Low,Bacterial Canker,Low,No,0.35,25.6,25.8,47.0,101.6,5.93,4.4,27.7,26.1,48.3,3.71,17.7146,79.836,15.1
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.344,33.9,21.8,91.5,114.8,5.65,37.7,127.4,195.3,81.0,4.65,27.0547,72.3522,3.3
Jute,Loamy,Rainy,High,Stem Rot,Low,No,0.541,60.8,22.2,80.1,177.4,6.86,63.1,36.9,44.4,66.4,3.84,20.7895,75.8063,17.3
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.457,37.0,24.8,87.3,114.6,5.97,36.4,13.2,43.0,58.6,3.43,10.2169,78.5066,1.4
Blackgram,Sandy,Normal,High,Powdery Mildew,Moderate,Yes,0.362,24.2,33.3,61.3,71.6,7.04,38.0,65.5,20.7,54.2,2.22,19.8466,82.6458,0.7
Apple,Clayey,Normal,High,Apple Scab,Low,No,0.39,44.8,24.4,90.1,106.6,5.62,25.3,139.3,204.0,85.9,4.2,12.8411,70.1174,1.6
Orange,Loamy,Normal,High,None,Low,No,0.487,45.2,20.1,92.8,102.4,7.07,36.7,27.6,8.5,51.9,4.44,18.2938,81.018,0.9
Muskmelon,Loamy,Normal,High,None,High,Yes,0.603,12.8,28.5,93.7,25.9,6.36,109.6,15.9,52.6,66.8,2.91,21.1523,77.2927,0.0
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.413,62.8,27.5,90.5,179.9,6.02,11.2,24.3,27.3,48.8,3.2,9.2161,95.4065,11.2
Mungbean,Sandy,Normal,High,None,High,Yes,0.289,11.8,27.9,83.5,42.2,6.25,17.2,42.0,23.8,53.5,2.58,27.3266,72.0891,1.7
Orange,Silty,Normal,High,Citrus Canker,Low,No,0.453,20.2,34.0,92.7,100.1,7.2,30.2,5.7,14.0,43.3,2.23,21.1616,94.6219,3.0
Kidneybeans,Loamy,Normal,Medium,None,Moderate,Yes,0.292,18.6,23.6,24.9,70.5,6.23,17.8,65.8,17.6,61.8,4.91,21.1505,89.3301,4.5
Chickpea,Loamy,Normal,Low,None,Moderate,Yes,0.481,32.3,21.5,19.3,74.5,7.88,48.3,62.9,84.2,58.4,4.57,25.004,93.2913,0.0
Mungbean,Loamy,Normal,High,None,Moderate,Yes,0.377,27.7,29.2,82.8,56.9,6.3,10.6,38.8,23.1,58.7,3.9,14.0479,73.1653,8.4
Lentil,Silty,Normal,High,None,Moderate,Yes,0.391,30.4,22.2,65.3,52.6,7.41,24.5,70.8,17.3,52.8,3.36,21.9478,70.7995,0.0
Pomegranate,Silty,Normal,Medium,Bacterial Blight,Low,No,0.327,36.8,21.0,86.8,109.9,6.93,16.8,16.2,37.5,48.9,3.67,8.8399,75.7698,2.1
Watermelon,Sandy,Normal,High,Anthracnose,High,Yes,0.566,16.6,23.2,83.9,48.0,6.44,82.4,24.3,47.6,70.7,1.93,19.8845,84.6027,13.2
Mungbean,Sandy,Normal,High,None,Moderate,Yes,0.252,18.8,28.8,81.3,58.8,6.81,31.2,37.8,24.7,60.1,3.99,26.993,83.0408,0.5
Mungbean,Loamy,Normal,High,None,High,Yes,0.34,18.3,29.2,82.9,44.3,6.24,39.4,56.0,19.0,58.1,2.63,23.2701,82.5435,3.5
Maize,Sandy,Normal,Low,None,Moderate,Yes,0.512,27.1,27.3,59.9,66.2,5.91,66.3,42.5,17.3,53.6,4.39,28.4012,89.2465,9.1
Papaya,Sandy,Normal,High,Papaya Ring Spot Virus,Low,No,0.425,30.2,36.5,91.0,105.6,6.8,54.2,38.8,52.4,59.1,3.22,27.0255,81.6706,0.0
Chickpea,Loamy,Cool,Low,None,Moderate,Yes,0.458,35.3,19.3,17.0,76.5,7.02,28.9,65.2,77.8,68.6,5.97,19.5231,74.7314,9.5
Coconut,Silty,Normal,High,Root Wilt,Low,No,0.451,47.7,28.1,90.8,149.7,6.06,4.4,12.8,26.4,45.0,2.64,32.3499,90.0569,10.9
Apple,Silty,Normal,High,Apple Scab,Low,No,0.24,42.8,20.8,91.6,110.2,6.07,10.1,127.8,198.4,88.4,4.95,14.8364,81.3798,9.3
Papaya,Silty,Rainy,High,None,Low,No,0.515,65.6,24.8,93.5,198.9,6.69,64.3,59.8,45.8,65.2,5.26,12.9509,91.2915,1.4
Papaya,Clayey,Normal,High,Phytophthora Blight,Moderate,Yes,0.395,33.7,39.9,93.6,96.9,6.94,46.7,35.2,46.2,60.4,2.95,31.2816,95.6079,3.2
Cotton,Silty,Normal,High,Bacterial Blight,Moderate,Yes,0.585,31.7,24.6,82.2,65.4,7.2,110.0,46.6,24.4,57.7,2.34,36.3323,77.0434,7.3
Kidneybeans,Sandy,Cool,Low,None,Low,No,0.317,42.2,19.7,16.6,110.3,5.85,21.5,63.3,15.6,57.5,6.15,24.9496,76.8668,2.4
Grapes,Silty,Cool,Medium,Anthracnose,Moderate,Yes,0.31,31.9,14.5,83.0,67.2,5.6,37.4,134.0,201.4,80.1,4.86,25.5385,96.0331,3.2
Cotton,Sandy,Normal,High,Bacterial Blight,Moderate,Yes,0.584,25.9,23.9,84.9,92.1,5.68,126.7,46.8,16.7,65.9,2.69,22.8395,80.751,2.7
Banana,Clayey,Normal,High,Panama Wilt,Low,No,0.632,29.7,27.0,82.7,100.6,6.21,92.1,89.0,47.4,70.1,4.3,28.6291,92.3564,8.2
Apple,Silty,Normal,High,Apple Scab,Low,No,0.472,45.6,24.5,93.3,121.7,5.68,27.8,126.3,196.2,80.5,4.88,34.6976,73.5385,0.6
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.693,71.0,31.7,81.6,287.4,7.28,71.8,44.0,36.9,55.7,2.86,28.1695,75.3381,17.0
Coconut,Loamy,Rainy,High,None,Low,No,0.544,56.7,30.0,96.3,175.0,5.99,32.9,26.6,34.3,57.5,5.02,12.4426,89.3497,4.1
Pigeonpeas,Loamy,Rainy,Medium,None,Low,No,0.349,62.3,27.8,58.4,184.4,5.44,3.3,75.9,16.2,48.4,5.22,17.1779,88.57,17.7
Coconut,Sandy,Normal,High,Root Wilt,Low,No,0.357,47.3,28.3,94.2,135.8,6.17,28.9,14.2,25.1,50.3,2.55,25.6473,87.9728,0.9
Jute,Loamy,Rainy,Low,Anthracnose,Low,No,0.674,57.5,22.7,77.0,178.4,6.51,89.9,55.9,35.0,72.1,4.81,17.2075,86.1721,0.0
Mothbeans,Clayey,Normal,Medium,None,Moderate,Yes,0.386,33.8,24.7,59.0,67.7,5.1,31.5,40.4,18.7,38.3,3.33,13.1621,72.0724,0.2
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.385,16.2,34.8,62.6,61.4,6.94,53.4,61.8,17.0,63.0,2.66,35.5403,84.9715,0.0
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.421,64.5,29.1,98.0,196.5,5.71,8.4,22.6,28.5,49.1,2.65,21.563,68.912,8.1
Coffee,Loamy,Rainy,Low,None,Low,No,0.656,51.4,23.2,61.3,191.1,6.99,105.2,26.9,29.7,61.8,6.15,26.7886,70.906,4.4
Pomegranate,Sandy,Normal,High,Bacterial Blight,Low,No,0.375,38.4,21.1,91.2,110.4,6.39,6.5,18.7,42.5,54.3,3.29,16.705,96.1522,14.9
Orange,Clayey,Normal,High,Citrus Canker,Low,No,0.276,37.3,24.4,93.0,103.3,6.25,4.3,15.6,7.7,51.8,2.71,17.6613,95.8375,17.3
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.328,33.2,20.8,89.6,103.0,6.49,31.7,8.5,38.5,56.5,3.06,27.8567,92.5244,0.6
Apple,Silty,Normal,High,Apple Scab,Low,No,0.32,33.0,22.0,91.1,109.4,5.97,6.4,122.5,200.5,87.8,4.93,19.5966,77.4862,10.9
Coffee,Sandy,Rainy,Medium,None,Low,No,0.619,55.2,20.7,59.8,162.8,7.11,109.2,25.6,28.9,64.4,6.8,25.7064,89.7988,4.4
Jute,Silty,Rainy,Low,Anthracnose,Low,No,0.487,47.1,23.0,71.9,159.0,6.58,69.2,47.5,35.4,69.7,5.34,13.206,79.5483,10.3
Kidneybeans,Silty,Cool,Low,None,Moderate,Yes,0.278,29.8,16.0,23.6,61.1,6.3,18.6,57.1,21.9,58.2,5.13,19.6494,90.3694,1.2
Lentil,Clayey,Normal,Medium,None,High,Yes,0.403,28.1,28.9,65.0,49.2,7.06,29.7,57.9,23.1,51.9,2.6,27.5668,72.3612,0.4
Coconut,Sandy,Normal,High,Root Wilt,Low,No,0.437,40.2,29.4,94.3,133.8,5.96,10.3,17.9,31.1,45.3,2.78,30.2382,68.6824,7.6
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.389,30.6,22.5,91.0,100.5,6.04,14.3,5.4,38.2,46.5,2.81,20.5019,75.9662,9.4
Cotton,Loamy,Normal,Medium,Bacterial Blight,Moderate,Yes,0.551,17.9,23.7,80.2,63.1,6.42,109.8,55.6,23.3,77.2,4.6,17.7954,86.4655,8.3
Grapes,Sandy,Normal,High,None,Moderate,Yes,0.195,17.9,28.9,84.4,69.3,6.34,0.9,143.8,197.6,88.1,5.5,15.0688,91.1697,15.9
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.305,28.9,23.4,90.9,101.1,6.0,8.6,143.4,197.7,84.4,4.81,27.0592,75.9683,10.4
Jute,Sandy,Rainy,High,Anthracnose,Low,No,0.659,59.6,23.2,71.3,185.6,6.43,72.7,40.5,35.2,68.9,4.3,8.3644,77.8773,6.2
Muskmelon,Silty,Normal,High,None,High,Yes,0.502,14.0,27.7,90.9,24.0,6.2,86.1,26.4,50.0,61.7,2.24,29.6923,83.3582,11.3
Banana,Silty,Normal,High,Panama Wilt,Low,No,0.636,38.4,27.9,81.2,102.5,6.06,98.1,81.7,46.6,69.9,4.05,18.9744,95.5158,0.4
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.278,30.6,13.7,80.8,72.3,6.28,8.7,144.8,200.7,93.6,3.9,26.278,87.2628,11.8
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.697,53.2,23.9,87.2,173.2,6.74,90.5,42.9,40.4,72.5,4.19,17.6876,81.4566,0.0
Kidneybeans,Silty,Cool,Low,None,Moderate,Yes,0.34,39.8,19.1,21.4,72.5,6.12,15.3,71.3,24.7,59.5,4.66,24.5099,81.6855,2.4
Mango,Silty,Normal,High,None,Low,No,0.297,37.6,28.9,50.1,103.3,4.98,0.9,30.0,32.9,33.7,2.65,16.4965,93.9389,14.7
Muskmelon,Clayey,Normal,High,None,High,Yes,0.568,20.7,26.2,90.9,26.4,6.23,98.4,22.1,49.4,71.1,3.31,8.1996,68.9374,4.0
Orange,Loamy,Normal,High,Citrus Canker,Low,No,0.472,40.0,20.4,91.3,102.4,7.07,39.8,26.6,5.7,51.2,3.15,16.4959,79.5535,3.8
Maize,Loamy,Normal,High,None,Moderate,Yes,0.433,31.6,25.8,63.6,67.3,5.69,74.5,52.9,20.1,59.4,3.83,17.8552,94.4763,7.9
Mungbean,Silty,Normal,High,None,Moderate,Yes,0.253,24.0,28.4,87.1,53.9,7.13,10.6,43.3,21.9,48.8,3.04,9.0366,72.0606,9.2
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.649,71.2,25.8,84.7,245.1,5.4,73.3,44.3,38.6,51.7,3.28,15.4619,74.6096,17.3
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.427,44.1,28.6,97.5,168.6,6.5,12.1,19.6,27.6,55.8,3.08,18.8565,93.0969,7.7
Mothbeans,Loamy,Normal,High,None,High,Yes,0.281,10.2,27.0,56.7,40.1,3.92,34.8,47.1,19.8,27.0,1.18,24.5128,86.5205,0.0
Orange,Loamy,Cool,Low,Citrus Canker,Low,No,0.367,53.2,10.8,93.1,110.1,7.43,35.9,23.5,8.6,48.7,3.53,15.0961,91.1208,0.0
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.682,57.5,21.8,89.6,163.9,6.4,94.3,40.7,42.2,74.9,4.06,15.0743,90.0887,1.3
Kidneybeans,Silty,Normal,Low,None,Moderate,Yes,0.268,28.2,21.3,17.0,67.5,5.62,21.5,74.5,18.2,48.8,4.07,32.973,71.2342,4.2
Jute,Sandy,Rainy,High,Anthracnose,Low,No,0.572,49.3,24.6,70.0,180.1,7.13,67.8,55.1,41.1,61.6,3.84,15.2216,75.9834,11.7
Pomegranate,Sandy,Cool,Low,Bacterial Blight,Low,No,0.378,32.6,19.3,85.1,107.6,6.84,25.0,7.8,42.6,57.2,4.06,26.4986,83.6191,0.0
Kidneybeans,Clayey,Cool,Low,None,Moderate,Yes,0.396,35.5,18.2,20.3,87.0,5.6,30.5,60.3,20.0,47.6,4.14,32.7184,85.6936,0.0
Orange,Sandy,Normal,High,Citrus Canker,Low,No,0.493,30.5,29.5,91.3,109.4,7.4,39.2,21.3,12.9,42.8,2.69,21.0415,80.3336,0.8
Watermelon,Sandy,Normal,High,Anthracnose,High,Yes,0.433,27.4,24.1,86.5,49.1,6.14,80.2,28.5,45.6,61.2,1.43,20.3975,79.0898,17.7
Mungbean,Loamy,Normal,High,None,Moderate,Yes,0.433,22.1,27.8,80.7,53.1,6.24,31.9,50.4,19.4,63.5,4.53,28.4882,75.2455,4.9
Coconut,Silty,Normal,High,Root Wilt,Low,No,0.31,49.3,26.4,93.7,140.5,6.42,15.0,7.5,31.4,53.9,3.19,24.6486,84.2933,5.1
Banana,Sandy,Normal,High,None,Low,No,0.521,42.1,27.7,77.9,113.2,5.52,102.9,89.1,47.6,68.1,5.5,33.653,73.3401,1.3
Muskmelon,Loamy,Normal,High,None,High,Yes,0.52,11.1,26.3,93.0,21.4,6.47,94.5,10.0,54.7,72.5,3.39,18.8308,84.4057,9.4
Orange,Clayey,Cool,High,Citrus Canker,Low,No,0.32,39.7,17.1,91.7,101.5,6.1,34.9,13.2,10.4,47.7,2.44,34.7524,85.6909,5.0
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.344,34.6,21.8,18.8,84.5,7.72,50.7,65.8,77.8,55.3,4.36,26.087,79.3085,0.0
Banana,Clayey,Normal,High,None,Low,No,0.641,36.6,28.4,78.3,110.0,5.96,97.1,76.5,47.2,68.4,5.34,13.266,68.7605,4.5
Maize,Clayey,Normal,Medium,Stalk Rot,Moderate,Yes,0.492,26.3,21.9,61.3,70.4,5.85,91.2,48.5,24.5,58.9,3.1,35.4924,68.7373,4.1
Mungbean,Loamy,Normal,High,None,High,Yes,0.216,24.4,27.6,83.8,37.3,7.22,15.2,46.2,19.0,52.0,1.88,22.1841,85.5406,7.1
Banana,Loamy,Normal,High,None,Low,No,0.498,35.4,27.5,79.8,118.3,6.01,96.6,75.3,45.9,69.4,5.5,9.8939,95.4323,5.3
Blackgram,Clayey,Normal,Low,None,Moderate,Yes,0.465,19.1,28.9,64.7,64.1,7.45,60.0,57.1,21.4,50.1,3.81,12.517,88.157,3.3
Maize,Clayey,Normal,Medium,None,Moderate,Yes,0.455,31.2,21.5,67.4,81.0,6.73,83.8,40.2,22.4,61.5,4.71,12.7088,82.4291,0.1
Jute,Silty,Rainy,High,Anthracnose,Low,No,0.635,49.0,20.3,70.5,173.5,6.04,74.9,56.0,41.2,64.1,3.42,10.9033,78.1113,3.6
Watermelon,Silty,Normal,High,None,High,Yes,0.605,19.2,29.8,88.6,42.7,6.54,119.5,7.8,49.8,69.7,3.01,18.6019,85.7947,3.0
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.392,42.2,20.6,92.6,103.6,6.31,19.7,140.8,200.7,94.5,4.36,13.3542,87.1217,0.5
Muskmelon,Loamy,Normal,High,None,High,Yes,0.561,13.3,29.4,93.8,24.2,6.07,106.7,18.0,50.8,70.1,2.81,9.3925,73.739,0.0
Pigeonpeas,Silty,Rainy,Medium,None,Low,No,0.394,63.2,26.7,30.5,184.3,5.94,25.4,75.9,17.4,61.6,6.22,15.6213,80.756,3.2
Jute,Sandy,Rainy,High,None,Low,No,0.643,55.3,28.9,75.1,174.4,7.21,90.7,58.1,38.4,64.9,5.52,20.3689,68.737,1.8
Kidneybeans,Clayey,Normal,Low,None,Moderate,Yes,0.301,42.8,20.5,18.0,87.6,6.37,9.1,66.4,16.1,55.5,4.85,22.8162,72.1095,11.5
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.569,44.9,35.6,82.8,157.0,6.33,71.9,53.6,40.3,70.2,4.17,26.4123,92.9093,14.0
Pigeonpeas,Silty,Normal,Medium,None,Low,No,0.374,45.0,22.4,32.0,134.1,7.41,21.6,78.9,19.2,51.2,5.4,16.6998,70.1712,3.0
Coffee,Clayey,Normal,Medium,None,Low,No,0.652,43.3,29.6,51.2,122.9,6.62,92.5,38.1,31.1,71.6,7.38,19.339,73.6078,9.9
Chickpea,Sandy,Normal,Low,None,Moderate,Yes,0.309,25.0,21.0,17.3,85.2,7.26,29.1,78.7,76.4,60.0,4.91,23.203,90.3781,10.9
Blackgram,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.489,20.5,32.4,64.5,74.7,6.57,46.4,62.5,16.2,62.4,2.7,26.1801,80.3514,0.0
Apple,Silty,Normal,High,Apple Scab,Low,No,0.47,39.9,25.0,93.0,109.1,6.1,30.3,125.6,196.0,91.6,4.26,30.3284,92.4274,3.1
Lentil,Silty,Normal,High,None,High,Yes,0.32,24.3,21.0,63.6,49.3,5.53,25.6,63.2,21.7,47.1,2.38,31.9616,82.148,2.2
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.539,62.8,26.9,96.0,205.4,6.09,15.0,18.0,34.3,48.7,3.0,25.5104,91.6432,7.0
Maize,Loamy,Normal,Low,None,Low,No,0.537,40.0,24.9,65.5,100.7,6.91,73.9,54.7,23.5,64.8,6.2,35.4325,70.8653,9.3
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.673,42.7,36.4,81.7,187.3,7.43,103.7,56.2,37.5,60.9,3.73,23.8711,77.3346,0.8
Mango,Loamy,Normal,High,None,Low,No,0.484,30.3,25.9,48.5,101.1,5.85,31.2,19.3,30.0,48.8,4.1,26.5448,89.9404,0.0
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.359,43.7,23.8,94.8,102.8,5.82,14.0,140.1,204.0,87.1,4.5,28.1734,73.76,3.4
Cotton,Sandy,Normal,High,Bacterial Blight,Moderate,Yes,0.633,34.0,20.7,78.4,65.3,6.21,136.6,51.6,23.5,74.6,3.11,36.9837,80.8335,0.0
Papaya,Sandy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.515,72.5,26.8,93.5,223.8,6.61,36.2,59.8,45.3,62.5,3.89,22.0149,80.7295,12.9
Coconut,Sandy,Rainy,High,Root Wilt,Low,No,0.341,56.9,27.0,95.8,166.8,6.4,7.7,9.7,30.2,53.2,3.4,35.1707,77.2845,10.3
Pigeonpeas,Loamy,Rainy,High,Fusarium Wilt,Low,No,0.525,57.3,35.5,53.2,190.9,4.79,12.9,75.7,22.0,39.7,2.2,28.3622,96.3183,9.5
Blackgram,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.319,25.4,31.2,65.0,74.3,6.94,38.6,69.4,15.5,59.8,2.94,9.8495,78.278,5.8
Lentil,Sandy,Normal,Medium,None,Moderate,Yes,0.416,15.4,26.6,64.9,53.9,6.91,22.8,78.7,22.3,59.2,5.07,22.7307,79.8071,3.4
Coffee,Clayey,Rainy,High,None,Low,No,0.59,48.9,20.5,65.1,179.7,6.88,103.5,36.6,34.7,65.5,5.73,30.4383,96.6981,3.9
Rice,Clayey,Rainy,Medium,Rice Blast,Low,No,0.753,85.2,21.8,84.7,292.4,6.44,99.0,47.4,36.2,73.9,5.12,13.1449,80.4805,0.0
Chickpea,Loamy,Normal,High,None,Moderate,Yes,0.371,18.9,29.8,16.3,87.6,6.52,27.4,65.0,77.3,72.0,4.44,35.9444,83.3445,8.1
